KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
dialogue_4ISC0,I might regret this.,Ich könnte das bereuen.,Je sens que je vais le regretter !,So che me ne pentirò.,Podría arrepentirme de esto.,,Talvez eu me arrependa disso.,,Я наверное пожалею об этом.,後悔するかもしれない.,我可能会后悔的。,我覺得我之後可能會後悔.,,,,,Tôi có thể hối tiếc về điều này.
dialogue_eWS0S,"How about this: @w3 If you can solve this little ... @w3 inconvenience ... @w2 for us, we will grant you free root beer in all our TOP clubs in this galaxy! @p9 It's probably just a simple delivery mission.","Wie wäre es damit: @w3 Wenn du diese kleine ... @w3 Unannehmlichkeiten ... @w2 für uns lösen kannst, gewähren wir dir kostenloses Root Beer in allen unseren TOP-Clubs in dieser Galaxie! @p9 Es ist wahrscheinlich nur ein einfacher Lieferauftrag.","Que dis-tu de ceci : @w3 Si tu peux résoudre ce petit ... @w3 désagrément ... @w2 pour nous, nous t'accorderons une bière de racine gratuite dans tous nos clubs TOP de cette galaxie ! @p9 Il s'agit probablement d'une simple mission de livraison.","Che ne dici di questo: @w3 Se riesci a risolvere questo piccolo... @w3 inconveniente... @w2 per noi, ti concederemo birra di radice gratuita in tutti i nostri club TOP in questa galassia! @p9 Probabilmente è solo una semplice missione di consegna.","¿Qué tal esto? @w3 Si puede resolver este pequeño ... @w3 inconveniente ... @w2 para nosotros, ¡le otorgaremos cerveza de raíz gratis en todos nuestros clubes TOP en esta galaxia! @p9 Probablemente sea solo una simple misión de entrega.",,"O que você acha disso? @w3 Se você puder resolver esse pequeno ... @w3 inconveniente ... @w2 para nós, nós lhe daremos cerveja de graça em todos os nossos clubes TOP nesta galáxia! @p9 Provavelmente é apenas uma simples missão de entrega.",,"Как насчет такого: @w3 Если вы сможете решить эту маленькую... @w3 неудобство... @w2 для нас, мы предоставим вам бесплатное корневое пиво во всех наших клубах TOP в этой галактике! @p9 Это, вероятно, просто задание по доставке.","これはどうでしょう: @w3 あなたがこのちょっとした ... @w3 不都合を ... @w2 私達のために解決してくれたら, 私達はこの銀河のすべてのトップクラブで無料のルートビアを提供しましょう! @p9 おそらく単なる配達任務です.","这样如何:@w3 如果你能帮我们解决这个小...@w3 不便...@w2 对我们来说,我们将在本星系的所有顶级俱乐部里免费赠送你根啤!@p9 这可能只是一个简单的送货任务。","這樣如何: @w3 如果你可以幫忙處理這個小小的 ... @w3 不便 ... @w2 幫我們個忙, 我們會給予你免費的啤酒暢飲在這銀河系的所有的 TOP 俱樂部! @p9 這應該只是一個簡單的運送任務.",,,,,"Thế này thì sao: @w3 Nếu bạn có thể giải quyết vấn đề nhỏ ... @w3 bất tiện này ... @w2 cho chúng tôi, chúng tôi sẽ cấp cho bạn Bia Rễ miễn phí trong tất cả các câu lạc bộ HÀNG ĐẦU của chúng tôi trong thiên hà này! @p9 Chắc chỉ là nhiệm vụ giao hàng đơn giản thôi."
dialogue_KecW0,Sounds doable!,Klingt machbar!,"Ok, dites m'en plus !",Sembra fattibile!,¡Suena factible!,,Parece factível!,,Звучит выполнимо!,それならできそうだ!,听起来可行!,聽起來可行!,,,,,Nghe có vẻ khả thi!
dialogue_qeKC4,Excellent! @w2 Our new low-gravity distillery is located in this planet's orbit. @w2\n  \n<color=#fbff00>Your task:</color> @w2 Pick up a few bottles of our new anniversary BEST SELLING low-gravity brewed root beer from our brewmaster and bring it back. @w2 \n\nSimple as that.,Exzellent! @w2 Unsere neue Niedrigschwerkraftdestillerie befindet sich im Orbit dieses Planeten @w2 \n\n<color=#fbff00>Deine Aufgabe: </color>@w2 Nehme ein paar Flaschen unseres diesjährigen BEST SELLING niedrigschwerkraftgebrauten Root Biers von unserem Braumeister entgegen und bring sie zurück. @w2 \n\nSo einfach ist das.,Excellent ! @w2 Notre nouvelle distillerie à faible gravité est située dans l'orbite de cette planète. @w2\n \n<color=#fbff00>Ta tâche:</color> @w2 Récupère quelques bouteilles de notre nouvelle bière de racine brassée à faible gravité BEST SELLING anniversaire auprès de notre brasseur et ramène-les. @w2 \n\nSimple comme ça.,Eccellente! @w2 La nostra nuova distilleria a bassa gravità si trova in orbita attorno a questo pianeta. @w2\n  \n<color=#fbff00>Il tuo compito:</color> @w2 Prendi alcune bottiglie della nostra nuova birra di radice fermentata in bassa gravità per l'anniversario dal nostro mastro birraio e riportale indietro. @w2 \n\nSemplice così.,¡Excelente! @w2 Nuestra nueva destilería de baja gravedad está ubicada en la órbita de este planeta. @w2\n  \n<color=#fbff00>Su tarea:</color> @w2 Recoja algunas botellas de nuestra nueva cerveza de raíz de baja gravedad elaborada para el aniversario MÁS VENDIDA de nuestro maestro cervecero y tráigala de vuelta. @w2 \n\nAsí de simple.,,Excelente! @w2 Nossa nova destilaria de baixa gravidade está localizada na órbita deste planeta. @w2\n \n<color=#fbff00>Sua tarefa:</color> @w2 Pegue algumas garrafas da nossa nova cerveja de raiz de baixa gravidade MAIS VENDIDA do aniversário com o nosso mestre cervejeiro e traga-a de volta. @w2 \n\nSimples assim.,,Великолепно! @w2 Наша новая винокурня с низкой гравитацией находится на орбите нашей планеты. @w2\n\n<color=#fbff00>Ваша задача:</color> @w3 Забрать у нашего пивовара несколько бутылок нашего нового юбилейного БЕСТСЕЛЛЕРА низкогравитационного сваренного рутбира и принести их обратно. @w2 \n\nВсе очень просто.,"素晴らしい! @w2 我々の新しい低重力蒸留所は この惑星の軌道上にあります. @w2 \n \n <color=#fbff00>あなたの任務:</color> @w2 我々の新しい周年記念ベストセラーの低重力醸造ルートビールを数本, 醸造長から受け取り, 持ち帰ること. @w2 \n\n簡単なことです.",太棒了!@w2 我们的新低重力蒸馏厂位于这个星球的轨道上。@w2 \n  \n<color=#fbff00>你的任务:</color> @w2 从我们的酿酒大师那里拿几瓶我们新周年纪念最畅销的低重力酿造根啤并带回来。@w2 \n\n就这么简单。,太棒了! @w2 我們新的無重力釀酒廠就在太空軌道上. @w2 \n  \n<color=#fbff00>你的任務:</color> @w2 從我們的釀酒師那裡拿幾瓶我們的新周年紀念暢銷低重力釀造根啤酒，然後把它帶回來 @w2 \n\n就是那麼簡單.,,,,,Xuất sắc! @w2 Nhà máy chưng cất trọng lực thấp mới của chúng tôi nằm trong quỹ đạo của hành tinh này. @w2\n\n<color=#fbff00> Nhiệm vụ của bạn: </color> @w2 Lấy một vài chai bia rễ ủ trọng lượng thấp BÁN CHẠY NHẤT kỷ niệm mới của chúng tôi từ nhà sản xuất bia của chúng tôi và mang nó trở lại. @w2\n\nĐơn giản vậy thôi.
dialogue_Jmm4a,I'll be back in no time.,Ich bin im Handumdrehen wieder da.,Je serai de retour en un rien de temps...,Torno tra un attimo.,Volveré en un abrir y cerrar de ojos.,,Estarei de volta em pouco tempo.,,Я вернусь в кратчайшие сроки.,すぐに戻ってくるよ.,我马上就会回来。,我很快就會回來.,,,,,Tôi sẽ trở lại ngay lập tức.
dialogue_uKaCm,Wooonderfull! @w2 Have a safe flight!," Wuuunderbar! @w2 Ich wünsche einen sicheren Flug!",Magnifiiiiiiquel! @w2 Bon vol!,Maaaagnifico! @w2 Faccia buon viaggio!,¡Maravilloso! @w2 ¡Tenga un vuelo seguro!,,Wooonderfull! @w2 Tenha um voo seguro!,,Замечааательно! @w2 Удачного полета!,すーーーばらしい! @w2 安全なフライトを!,太棒了!@w2 祝你飞行安全!,太棒了! @w2 祝你航程平安!,,,,,Tuyệt vời! @w2 Chúc bạn có một chuyến bay an toàn!
dialogue_0KWe0,Easiest job ever!,Einfachster Job aller Zeiten!,Un boulot tranquille pour une fois !,Il lavoro più facile di sempre!,¡El trabajo más fácil de la historia!,,O trabalho mais fácil que você já teve!,,Самое плевое дело!,今までで一番簡単な仕事だ!,最简单的工作了!,這是最簡單的工作了!,,,,,Công việc dễ dàng nhất từ ​​trước đến nay!
dialogue_enZai,"Welcome! @w2 I am Brewmaster Lark. @w3 We're having a bit of trouble right now, so I do not have a lot of time for visitors.","Willkommen! @w2 Ich bin Brewmaster Lark. @w3 Wir haben gerade ein bisschen Ärger, deshalb habe ich nicht viel Zeit für Besucher.","Bienvenue ! @w2 Je suis Brewmaster Lark. @w3 Nous avons quelques problèmes en ce moment, alors je n'ai pas beaucoup de temps pour les visiteurs.","Benvenuto! @w2 Sono il Mastro Birraio Lark. @w3 Stiamo avendo un po' di problemi in questo momento, quindi non ho molto tempo per i visitatori.","¡Bienvenido! @w2 Soy el Maestro Cervecero Lark. @w3 Estamos teniendo un poco de problemas en este momento, así que no tengo mucho tiempo para visitantes.",,"Bem-vindo! @w2 Eu sou o mestre cervejeiro Lark. @w3 Estamos com alguns problemas no momento, por isso não tenho muito tempo para receber visitantes.",,"Добро пожаловать! @w2 Я - пивовар Ларк. @w3 Сейчас у нас немного проблем, так что у меня не так много времени на посетителей.","ようこそ! @w2 私は醸造長のラークです. @w3 我々は今ちょっとしたトラブルを抱えていて, お客様のための時間があまりないんですよ.","欢迎!@w2 我是酿酒大师Lark。@w3 我们现在有点麻烦,所以我没有太多时间接待访客。","歡迎! @w2 我是釀酒師 Lark. @w3 我們現在遇到一點麻煩, 所以我沒有太多時間陪遊客.",,,,,Chào mừng! @w2 Tôi là Brewmaster Lark. @w3 Hiện tại bên mình đang có chút sự cố nên không có nhiều thời gian cho khách.
dialogue_S82Ga,I was sent to help.,Ich wurde geschickt um zu helfen.,On m'a envoyé pour aider.,Sono stato inviato per aiutare.,Me enviaron para ayudar.,,Fui enviado para ajudar.,,Меня отправили помочь.,手伝いに来た.,我是来帮忙的。,我是被派過來幫忙的.,,,,,Tôi đã được gửi đến để giúp đỡ.
dialogue_eE4SK,"Ah! @w2 Yilk sent a message saying someone would come for a transport job. @w2 But I carry grave news. @w2 How should I put it? @w2 Pirates have raided our distillery and stolen the secret recipe of our new Anniversary BEST SELLING TOP root beer. @p9 We were able to track them down, but ... @w2 we are not equipped for the required ... @w2 armed endeavours. @p9 I am very sorry your travel might have been to no avail. @w2 But .. @w2 Maybe you could assist us with this little ... @w2 inconvenience?","Ah! @w2 Yilk schickte eine Nachricht, dass jemand wegen eines Transportauftrags kommen würde. @w4 Aber ich habe eine schlimme Nachricht. @w4 Wie soll ich es sagen? @w3 Piraten haben unsere Brennerei überfallen und das Geheimrezept für unser neues Jubiläums-BEST-SELLING-TOP-Wurzelbier gestohlen. @p9 Wir konnten sie zwar aufspüren, aber ... @w4 wir sind nicht ausgerüstet für die erforderlichen ... @w4 bewaffneten Bemühungen. @p9 Es tut mir sehr leid, dass deine Reise umsonst gewesen sein könnte. @p9 ... @p9 Aber .. @w2 Vielleicht kannst du uns bei dieser kleinen ... @w2 Unannehmlichkeiten helfen?","Ah ! @w2 Yilk a envoyé un message disant que quelqu'un viendrait pour un travail de transport. @w4 Mais je suis porteur de graves nouvelles. @w4 Comment dois-je le dire ? @w3 Des pirates ont fait un raid sur notre distillerie et ont volé la recette secrète de notre nouvelle bière de racine Anniversary BEST SELLING TOP. @p9 Nous avons pu les retrouver, mais ... @w4 nous ne sommes pas équipés pour les ... @w4 efforts armés. @p9 Je suis vraiment désolé que ton voyage ait été inutile. @p9 ... @p9 Mais ... @w2 Peut-être pourrais-tu nous aider avec ce petit ... @w2 inconvénient ?","Ah! @w2 Yilk ha mandato un messaggio dicendo che qualcuno sarebbe venuto per un lavoro di trasporto. @w2 Ma porto brutte notizie. @w2 Come dovrei dirlo? @w2 I pirati hanno fatto irruzione nella nostra distilleria e rubato la ricetta segreta della nostra nuova birra di radice TOP per l'anniversario MIGLIOR VENDITORE. @p9 Siamo riusciti a rintracciarli, ma... @w2 non siamo attrezzati per le necessarie... @w2 imprese armate. @p9 Mi dispiace molto che il tuo viaggio possa essere stato inutile. @w2 Ma.. @w2 Forse potresti aiutarci con questo piccolo... @w2 inconveniente?","¡Ah! @w2 Yilk envió un mensaje diciendo que alguien vendría por un trabajo de transporte. @w2 Pero llevo malas noticias. @w2 ¿Cómo lo digo? @w2 Los piratas han asaltado nuestra destilería y robado la receta secreta de nuestra nueva cerveza de raíz TOP del Aniversario MÁS VENDIDA. @p9 Pudimos rastrearlos, pero... @w2 no estamos equipados para los requeridos... @w2 esfuerzos armados. @p9 Lamento mucho que su viaje haya sido en vano. @w2 Pero... @w2 ¿Tal vez podría ayudarnos con este pequeño... @w2 inconveniente?",,"Ah! @w2 Yilk enviou uma mensagem dizendo que alguém viria para um trabalho de transporte. @w2 Mas eu trago notícias graves. @w2 Como devo dizer isso? @w2 Piratas invadiram nossa destilaria e roubaram a receita secreta de nossa nova cerveja de raiz TOP DE VENDAS de aniversário. Conseguimos localizá-los, mas ... @w2 não estamos equipados para as ... @w2 necessários para os esforços armados. @p9 Lamento muito que sua viagem tenha sido em vão. @w2 Mas ... @w2 Talvez você possa nos ajudar com esse pequeno ... @w2 inconveniente?",,"Ах! @w2 Йилк послал сообщение, что кто-то придет за работой по транспортировке. @w2 Но у меня плохие новости. @w2 Как мне это сказать? @w2 Пираты напали на нашу винокурню и украли секретный рецепт нашего нового юбилейного ЛУЧШЕГО ПРОДАВАЕМОГО TOP корневого пива. @p9 Нам удалось их отследить, но... @w2 мы не готовы к необходимым... @w2 вооруженным действиям. @p9 Мне очень жаль, что ваше путешествие могло оказаться напрасным. @w2 Но.. @w2 Может быть, вы могли бы помочь нам с этим маленьким... @w2 неудобством?","ああ! @w2 イルクが輸送の仕事で誰かが来るとメッセージを送ってくれていた. @w4 しかし, 私は重大なニュースを抱えています. @w4 どうすればいいでしょう? @w3 海賊が我々の蒸留所を襲撃し, 新しい周年記念ベストセラートップルートビアの秘密のレシピを盗んだんです. @p9 追跡することはできたましたが, ... @w4 我々には必要な装備がありませんし ... @w4 武装したことがありません. @p9 とても残念ですがあなたの旅は無駄になってしまったかもしれない. @w2 しかし .. @w2 もしかしたらあなたは我々を助けられるかもしれない, このちょっとした .. @w2 不都合を?","啊!@w2 Yilk发来消息说有人会来接运输工作。@w2 但我带来了噩耗。@w2 我该如何表达呢?@w2 海盗袭击了我们的蒸馏厂,偷走了我们新周年纪念最畅销顶级根啤的秘密配方。@p9 我们设法追踪到了他们,但...@w2 我们没有装备来应对所需的...@w2 武装行动。@p9 很抱歉你的旅行可能白费了。@w2 但是..@w2 也许你能帮我们解决这个小...@w2 不便?",阿! @w2 Yilk發了一條消息說有人會幫忙運輸工作. @w4 但我必須告知一個嚴重的消息. @w4 我該怎麼說呢? @w3 海盜襲擊了我們的釀酒廠並偷走了我們新的周年紀念暢銷頂級低重力啤酒的秘方. @p9 我們能夠追踪到他們，但是 ... @w4 我們的裝備不足以應付 ... @w4 武裝衝突. @p9 很抱歉，您的旅行可能是白忙一場. @p9 ... @p9 但是 .. @w2 或許你可以在這方面協助我們 ... @w2 這點小小的不便?,,,,,
dialogue_KOhae,There goes the easy job.,Da geht der einfache Auftrag dahin.,Voilà le travail facile qui s'en va.,Ecco che se ne va il lavoro facile.,Se acabó el trabajo fácil.,,Lá se vai o trabalho fácil.,,А вот и плевое дело.,簡単な仕事だ.,轻松的工作就这么没了。,說好的輕鬆的工作就這樣沒了.,,,,,Đó là công việc dễ dàng.
dialogue_8Gm4q,"Wonderful! @w2 I have sent the position of the <color=#fbff00>pirate base</color> to your suit AI. @w5 Please hurry! @w3 Without the recipe, we will be ruined! \n\nHere's an <color=#ffffff>upfront payment</color> as a sign of confidence in your abilities - and so you can see how serious the situation is.","Wunderbar! @w2 Ich habe die Position der <color=#fbff00>Piratenbasis</color> an deine Anzug-KI gesendet. @w5 Bitte beeile dich! @w3 Ohne das Rezept werden wir ruiniert!\n\nHier ist eine <color=#ffffff>Vorauszahlung</color> als Zeichen des Vertrauens in deine Fähigkeiten - und damit du siehst, wie ernst die Lage ist.","Merveilleux ! @w2 J'ai envoyé la position de la <color=#fbff00>base des pirates</color> à ton IA de combinaison. @w5 Dépêche-toi ! @w3 Sans la recette, nous serons ruinés ! \n\nVoici un <color=#ffffff>paiement d'avance</color> comme signe de confiance en tes capacités - et pour que tu vois à quel point la situation est sérieuse.","Meraviglioso! @w2 Ho inviato la posizione della <color=#fbff00>base dei pirati</color> all'IA della tua tuta. @w5 Per favore, affrettati! @w3 Senza la ricetta, saremo rovinati! \n\nEcco un <color=#ffffff>pagamento anticipato</color> come segno di fiducia nelle tue capacità - e così puoi vedere quanto sia seria la situazione.","¡Maravilloso! @w2 He enviado la posición de la <color=#fbff00>base pirata</color> a la IA de su traje. @w5 ¡Por favor, apresúrese! @w3 Sin la receta, ¡estaremos arruinados! \n\nAquí tiene un <color=#ffffff>pago por adelantado</color> como señal de confianza en sus habilidades - y para que vea lo seria que es la situación.",,"Maravilhoso! @w2 Enviei a posição da <color=#fbff00>base pirata</color> para a IA do seu traje. @w5 Por favor, apresse-se! @w3 Sem a receita, estaremos arruinados! \n\nAqui está um <color=#ffffffff>pagamento adiantado</color> como um sinal de confiança em suas habilidades - e para que você possa ver a gravidade da situação.",,"Замечательно! @w2 Я отправил позицию <color=#fbff00>пиратской базы</color> в ИИ вашего костюма. @w5 Пожалуйста, поторопитесь! @w3 Без рецепта мы разоримся! \n\nВот <color=#ffffff>предоплата</color> как знак доверия в ваших способностях - и чтобы вы поняли, насколько серьезна ситуация.","素晴らしい! @w2 スーツAIに <color=#fbff00>海賊基地の</color> 位置を送信した. @w5 急いでください! @w3 レシピがなければ, 私たちは破滅してしまう! \n\nあなたの能力に対する信頼の表れとして, また状況がどれほど深刻なものであるかを知ってもらうために, <color=#ffffff>前金を</color> お支払いします.","太棒了!@w2 我已经将<color=#fbff00>海盗基地</color>的位置发送到了你的宇航服人工智能。@w5 请快点!@w3 没有配方,我们将会被毁灭!\n\n这是一份<color=#ffffff>预付款</color>,作为对你能力的信任——以及让你看到情况有多严重。",太好了！ @w2 我已將<color=#fbff00>海盜基地</color>的位置發送給你的套裝AI。 @w5 請快點！ @w3 沒有食譜，我們就毀了！ \n\n這是<color=#ffffff>預付款</color>，作為對您能力的信心的證明- 這樣您就可以看到情況有多嚴重。,,,,,
dialogue_S08eu,By all means!,"Ich hoffe, das Bier ist es wert.",J'espère que la bière en vaut la peine.,Spero sia buona questa birra..,¡Por supuesto!,,Com certeza!,,Надеюсь это пиво того стоит.,"ぜひ, そうしてほしい!",无论如何!,希望這啤酒值得我跑這趟.,,,,,Hy vọng bia là giá trị nó.
dialogue_0qKu0,"Welcome back, my friend! @w4 Did you have any success?","Willkommen zurück, mein Freund! @w4 Hattest du Erfolg?","Bon retour, mon ami ! @w4 As-tu eu du succès ?","Bentornato, amico mio! @w4 Hai avuto successo?","¡Bienvenido de nuevo, amigo! @w4 ¿Tuvo éxito?",,"Bem-vindo de volta, meu amigo! @w4 Você teve algum sucesso?",,"Добро пожаловать обратно, мой друг! @w4 У вас получилось?","おかえり, 友よ! @w4 成功したか?","欢迎回来,我的朋友!@w4 你成功了吗?","歡迎回來, 我的朋友! @w4 你成功了嗎?",,,,,Chào mừng trở lại bạn của tôi! @ w4 Bạn có thành công không?
dialogue_C00ew,<i>(Give recipe to Lark)</i>,<i>(Lark das Rezept überreichen)</i>,<i>Donner la recette à Lark</i>,<i>(Consegna la ricetta a Lark)</i>,<i>(Dar la receta a Lark)</i>,,<i>(Dê a receita para Lark)</i>,,<i>(Отдать рецепт Ларку)</i>,<i>(ラークにレシピを渡す)</i>,<i>(把食谱给云雀)</i>,<i>(把配方給 Lark)</i>,,,,,<i> (Đưa công thức cho Lark) </i>
dialogue_eC0ia,"Awesome! @w2 \n\nPlease head over to the <color=#ffffff>distillery main building</color> and check with my colleague, Brewmaster Urfk! @w2 \n\nHe will initiate the brewing process.","Umwerfend! @w2 Bitte geh rüber zum <color=#ffffff>Destillerie-Hauptgebäude</color> zu meinem Kollegen, Braumeister Urfk! @w2\n\n Er wird den Brauprozess starten.","Génial ! @w2 \n\nVeuillez vous rendre au <color=#ffffff>bâtiment principal de la distillerie</color> et voir avec mon collègue, le maître brasseur Urfk ! @w2 \n\nIl va lancer le processus de brassage.","Fantastico! @w2 \n\nPer favore, dirigiti verso l'<color=#ffffff>edificio principale della distilleria</color> e verifica con il mio collega, il Mastro Birraio Urf","¡Impresionante! @w2 \n\nPor favor, pase al <color=#ffffff>edificio principal de la destilería</color> y consulte con mi colega, el Maestro Cervecero Urfk. @w2 \n\nÉl iniciará el proceso de elaboración.",,"Você está ótimo! @w2 \n\nPor favor, vá até o <color=#ffffffff>edifício principal da destilaria</color> e verifique com meu colega, o mestre cervejeiro Urfk! @w2 \n\nEle iniciará o processo de fermentação.",,"Замечательно! @w2 \n\nПожалуйста, пройдите в <color=#ffffff>главное здание винокурни</color> и посоветуйтесь с моим коллегой, пивоваром Урфком! @w2 \n\nОн инициирует процесс брожения.","最高だ! @w2 \n\n <color=#ffffff>蒸留所本館</color> に行って, 同僚の醸造長ウルフクに確認してくれ! @w2 \n\n彼が醸造プロセスを開始する.","太棒了!@w2 \n\n请前往<color=#ffffff>蒸馏厂主建筑</color>,与我的同事酿酒大师Urfk确认!@w2 \n\n他将启动酿造过程。","太棒了! @w2 \n\n請前往 <color=#ffffff>釀酒廠主建築</color> 並去找我的同事, 釀酒師 Urfk! @w2 \n\n他將啟動釀造過程.",,,,,"Đáng kinh ngạc! @w2\n\nVui lòng đến <color=#ffffff> tòa nhà chính của nhà máy chưng cất </color> và kiểm tra với đồng nghiệp của tôi, Brewmaster Urfk! @w2\n\nAnh ấy sẽ bắt đầu quá trình sản xuất bia."
dialogue_KupQa,Aye..YARR!,Aye..HARR!,Aye..YARR !,Aye..YARR!,¡Aye... YARR!,,Sim... YARR!,,Оуч..ЯРРР!,アェ...ヤール!,是的!,好的..YARR!,,,,,Aye..YARR!
dialogue_mKmm4,You. @w1 Are. @w1 Late!,Du. @w1 bist. @w1 Zu spät!,Toi. @w1 Es. @w1 En retard !,Tu. @w1 Sei. @w1 In ritardo!,Tú. @w1 Llegas. @w1 Tarde.,,Você. @w1 Você está. @w1 Você está atrasado!,,Вы. @w1 Опоздали!,"お前 @w1 は, @w1 遅い!",你 @w1 迟到. @w1 了!,你. @w1 遲到. @w1 了!,,,,,Bạn. @w1 Là. @w1 Muộn!
dialogue_6ee0i,Excu...?,Entschul...?,Excu... ?,Mi scus...?,¿Discul...?,,Você está atrasado?,,Прошу прощ...?,すみませ...?,对不起... ?,搞什...?,,,,,Xi ...?
dialogue_8e8W4,Brewmaster Urfk,Braumeister Urfk,Maître brasseur Urfk,Mastro Birraio Urfk,Maestro Cervecero Urfk,,Mestre cervejeiro Urfk,,Пивовар Урфк,醸造長ウルフク,酿酒师乌尔夫克,釀酒師 Urfk,,,,,Brewmaster Urfk
dialogue_eRm4W,Whatever. @w3 A whole universe of taste is in peril. @w4 \n\nWe must hurry!,"Wie auch immer, Terraner. @w3 Ein ganzes Universum des Geschmacks ist in Gefahr. @w4 \n\n Wir müssen uns beeilen!","Peu importe, Terran. @w3 Tout un univers de goût est en péril. @w4 \nNNous devons nous dépêcher !",Comunque. @w3 Un intero universo di gusto è in pericolo. @w4 \n\nDobbiamo sbrigarci!,No importa. @w3 Todo un universo de sabor está en peligro. @w4 \n\n¡Debemos apresurarnos!,,O que você quiser. @w3 Todo um universo de sabores está em perigo. @w4 Temos que nos apressar!,,Как бы то ни было. @w3 Вселенная вкусов в опасности. @w4 \n\nНам нужно торопиться!,どうでもいい. @w3 宇宙の美味が危険にさらされている. @w4 \n\n 急がねば!,随便吧。@w3 整个味觉的宇宙都处于危险之中。@w4 \n\n我们必须赶快!,"不管了, 地球人. @w3 整個釀造世界都處於危險之中. @w4 \n\n我們必須盡快!",,,,,
dialogue_mgeKO,This is..,Das ist..,C'est...,Questo è..,Esto es...,,Isso é...,,Это..,これは...,这是..,這是..,,,,,Đây là..
dialogue_a8C0i,"No worries. @w2 \nDespite your questionable delay, I will be able to meet the schedule! @w2 \n\nThere is a recreation area in the <color=#ffffff>office on the other side</color> of the building. @w2 \n\nSo, thank you for your understanding, but please do not stand in my way any longer.","Keine Sorge Terraner. @w2 \nTrotz deiner fragwürdigen Verzögerung, wird es mir möglich sein, im Plan zu bleiben! @w2\n\n Da ist ein Erholungsbereich im <color=#ffffff>Büro auf der anderen Seite</color>. @w2 So, danke für dein Verständnis, aber bitte steh mir nicht länger im Weg rum.","Pas de problème, Terran. @w2 \nMalgré votre retard discutable, je serai en mesure de respecter le calendrier! @w2\n\nIl y a une zone de dégustation dans <color=#ffffff>le bâtiment de l'autre côté</color>. @w2\nAlors, merci pour votre coopération, mais s'il vous plaît ne me gênez plus.","Nessun problema. @w2 \nNonostante il tuo ritardo discutibile, sarò in grado di rispettare la tabella di marcia! @w2 \n\nC'è un'area ricreativa nell'<color=#ffffff>ufficio dall'altra parte</color> dell'edificio. @w2 \n\nQuindi, grazie per la tua comprensione, ma per favore non intralciare più.","No te preocupes. @w2 \nA pesar de tu retraso cuestionable, ¡podré cumplir con el cronograma! @w2 \n\nHay un área de recreación en la <color=#ffffff>oficina al otro lado</color> del edificio. @w2 \n\nAsí que, gracias por tu comprensión, pero por favor no te interpongas más en mi camino.",,"Não se preocupe. @w2 \nApesar do atraso questionável de vocês, eu conseguirei cumprir o cronograma! @w2 \n\nHá uma área de recreação no <color=#ffffffff>escritório do outro lado</color> do edifício. @w2 \n\nEntão, obrigado pela sua compreensão, mas, por favor, não me atrapalhe mais.",,"Не беспокойся, Терран. @w2 \nНесмотря на вашу сомнительную задержку, я смогу уложиться в график! @w2 \n\n<color=#ffffff>В офисе с другой стороны здания</color> расположена зона отдыха. @w2 Итак, спасибо за понимание, но, пожалуйста, не стойте больше на моем пути.","心配するな. @w2 \nいかがわしい遅延にもかかわらず, スケジュールには間に合う! @w2 \n\n <color=#ffffff>反対側のオフィス</color> には憩いの場がある. @w2 \n\nだから, 理解してくれて感謝するが, もうこれ以上私の邪魔をしないでくれ.","不用担心。@w2 \n尽管你可疑的延迟,我仍能按时完成!@w2 \n\n在建筑<color=#ffffff>另一边的办公室</color>里有一个娱乐区。@w2 \n\n所以,感谢你的理解,但请不要再挡我的路了。","不用擔心, 地球人. @w2 \n雖然你晚交貨了, 但我會趕上交期時程的! @w2 \n\n那裏有個休閒區在這棟建築的<color=#ffffff>辦公室的另一邊</color> . @w2 \n\n所以, 感謝你的諒解, 但請別在這邊妨礙我工作.",,,,,"Đừng lo, Terran. @w2\nBất chấp sự chậm trễ đáng ngờ của bạn, tôi sẽ có thể đáp ứng lịch trình! @w2\n\nCó một khu vực giải trí trong <color=#ffffff> văn phòng ở phía bên kia </color> của tòa nhà. @w2\n\nVì vậy, cảm ơn sự thông cảm của bạn, nhưng xin đừng cản đường tôi nữa."
dialogue_6WWSa,<i>...</i>,<i>...</i>,<i>...</i>,<i>...</i>,<i>...</i>,,<i>...</i>,,<i>...</i>,<i>...</i>,<i>...</i>,<i>(無言..)</i>,,,,,<i> ... </i>
